month,day,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,9,1,1,2,1,1,0,2,0,1,3
,10,0,3,0,0,0,4,2,0,0,1
,11,3,2,0,0,0,0,1,1,0,0
,12,2,0,0,1,2,0,0,0,3,1
,13,2,0,1,0,1,2,1,0,0,0
,14,0,1,2,0,0,0,0,1,0,0
,15,0,1,1,2,1,1,2,0,1,3
,16,0,1,2,0,1,0,2,1,1,2
,17,0,0,0,2,1,6,0,2,0,1
,18,1,0,1,0,1,0,2,1,3,0
,19,2,2,1,3,0,3,0,0,2,0
,20,1,2,4,1,3,2,0,1,2,1
,21,2,2,2,1,2,2,1,0,2,1
,22,1,1,0,0,2,0,2,2,0,0
,23,4,2,0,0,1,0,1,0,4,0
,24,1,0,2,0,0,3,0,1,2,0
,25,0,0,1,0,0,0,0,1,0,3
,26,4,2,0,2,0,0,6,6,1,0
,27,1,0,2,0,1,0,1,3,0,0
,28,0,0,0,3,0,1,1,1,0,0
,29,0,3,1,0,0,1,1,1,0,2
,30,0,0,0,0,0,0,2,2,1,2
,31,1,0,0,4,3,0,0,1,0,1
,Total,35,32,29,32,28,36,36,42,28,26
