group,year,total,level,attainment,count
"55 Years and Over, Both Sexes",1947,23234,College: 1 to 3 years,Some College,1003
"55 Years and Over, Both Sexes",1947,23234,College: 4 years or more,College Degree,825
"55 Years and Over, Both Sexes",1940,19592,Elementary: 0 to 4 years,Less than High School,4178
"55 Years and Over, Both Sexes",1940,19592,Elementary: 5 to 8 years,Less than High School,10467
"55 Years and Over, Both Sexes",1940,19592,High School: 1 to 3 years,Less than High School,1656
"55 Years and Over, Both Sexes",1940,19592,High School: 4 years,High School,1633
"55 Years and Over, Both Sexes",1940,19592,College: 1 to 3 years,Some College,685
"55 Years and Over, Both Sexes",1940,19592,College: 4 years or more,College Degree,579
"55 Years and Over, Male",2022,46189,Elementary: 0 to 4 years,Less than High School,688
"55 Years and Over, Male",2022,46189,Elementary: 5 to 8 years,Less than High School,1396
"55 Years and Over, Male",2022,46189,High School: 1 to 3 years,Less than High School,2825
"55 Years and Over, Male",2022,46189,High School: 4 years,High School,14054
"55 Years and Over, Male",2022,46189,College: 1 to 3 years,Some College,11327
"55 Years and Over, Male",2022,46189,College: 4 years or more,College Degree,15898
"55 Years and Over, Male",2021,45252,Elementary: 0 to 4 years,Less than High School,596
"55 Years and Over, Male",2021,45252,Elementary: 5 to 8 years,Less than High School,1375
"55 Years and Over, Male",2021,45252,High School: 1 to 3 years,Less than High School,2740
"55 Years and Over, Male",2021,45252,High School: 4 years,High School,13472
"55 Years and Over, Male",2021,45252,College: 1 to 3 years,Some College,11162
"55 Years and Over, Male",2021,45252,College: 4 years or more,College Degree,15906
"55 Years and Over, Male",2020,45143,Elementary: 0 to 4 years,Less than High School,566
"55 Years and Over, Male",2020,45143,Elementary: 5 to 8 years,Less than High School,1459
"55 Years and Over, Male",2020,45143,High School: 1 to 3 years,Less than High School,2802
"55 Years and Over, Male",2020,45143,High School: 4 years,High School,13410
"55 Years and Over, Male",2020,45143,College: 1 to 3 years,Some College,11009
"55 Years and Over, Male",2020,45143,College: 4 years or more,College Degree,15897
"55 Years and Over, Male",2019,43789,Elementary: 0 to 4 years,Less than High School,547
"55 Years and Over, Male",2019,43789,Elementary: 5 to 8 years,Less than High School,1649
"55 Years and Over, Male",2019,43789,High School: 1 to 3 years,Less than High School,2800
"55 Years and Over, Male",2019,43789,High School: 4 years,High School,12976
"55 Years and Over, Male",2019,43789,College: 1 to 3 years,Some College,10724
"55 Years and Over, Male",2019,43789,College: 4 years or more,College Degree,15093
"55 Years and Over, Male",2018,42961,Elementary: 0 to 4 years,Less than High School,522
"55 Years and Over, Male",2018,42961,Elementary: 5 to 8 years,Less than High School,1670
"55 Years and Over, Male",2018,42961,High School: 1 to 3 years,Less than High School,2851
"55 Years and Over, Male",2018,42961,High School: 4 years,High School,13041
"55 Years and Over, Male",2018,42961,College: 1 to 3 years,Some College,10630
"55 Years and Over, Male",2018,42961,College: 4 years or more,College Degree,14247
"55 Years and Over, Male",2017,41901,Elementary: 0 to 4 years,Less than High School,561
"55 Years and Over, Male",2017,41901,Elementary: 5 to 8 years,Less than High School,1617
"55 Years and Over, Male",2017,41901,High School: 1 to 3 years,Less than High School,2813
"55 Years and Over, Male",2017,41901,High School: 4 years,High School,12808
"55 Years and Over, Male",2017,41901,College: 1 to 3 years,Some College,10288
"55 Years and Over, Male",2017,41901,College: 4 years or more,College Degree,13814
"55 Years and Over, Male",2016,40988,Elementary: 0 to 4 years,Less than High School,624
"55 Years and Over, Male",2016,40988,Elementary: 5 to 8 years,Less than High School,1708
"55 Years and Over, Male",2016,40988,High School: 1 to 3 years,Less than High School,2814
"55 Years and Over, Male",2016,40988,High School: 4 years,High School,12374
"55 Years and Over, Male",2016,40988,College: 1 to 3 years,Some College,10236
"55 Years and Over, Male",2016,40988,College: 4 years or more,College Degree,13231
"55 Years and Over, Male",2015,39895,Elementary: 0 to 4 years,Less than High School,608
"55 Years and Over, Male",2015,39895,Elementary: 5 to 8 years,Less than High School,1765
"55 Years and Over, Male",2015,39895,High School: 1 to 3 years,Less than High School,2707
"55 Years and Over, Male",2015,39895,High School: 4 years,High School,12398
"55 Years and Over, Male",2015,39895,College: 1 to 3 years,Some College,9863
"55 Years and Over, Male",2015,39895,College: 4 years or more,College Degree,12556
"55 Years and Over, Male",2014,38850,Elementary: 0 to 4 years,Less than High School,544
"55 Years and Over, Male",2014,38850,Elementary: 5 to 8 years,Less than High School,1790
"55 Years and Over, Male",2014,38850,High School: 1 to 3 years,Less than High School,2800
"55 Years and Over, Male",2014,38850,High School: 4 years,High School,12150
"55 Years and Over, Male",2014,38850,College: 1 to 3 years,Some College,9320
"55 Years and Over, Male",2014,38850,College: 4 years or more,College Degree,12246
"55 Years and Over, Male",2013,37621,Elementary: 0 to 4 years,Less than High School,557
"55 Years and Over, Male",2013,37621,Elementary: 5 to 8 years,Less than High School,1790
"55 Years and Over, Male",2013,37621,High School: 1 to 3 years,Less than High School,2605
"55 Years and Over, Male",2013,37621,High School: 4 years,High School,11539
"55 Years and Over, Male",2013,37621,College: 1 to 3 years,Some College,9060
"55 Years and Over, Male",2013,37621,College: 4 years or more,College Degree,12070
"55 Years and Over, Male",2012,36489,Elementary: 0 to 4 years,Less than High School,614
"55 Years and Over, Male",2012,36489,Elementary: 5 to 8 years,Less than High School,1775
"55 Years and Over, Male",2012,36489,High School: 1 to 3 years,Less than High School,2754
"55 Years and Over, Male",2012,36489,High School: 4 years,High School,11220
"55 Years and Over, Male",2012,36489,College: 1 to 3 years,Some College,8574
"55 Years and Over, Male",2012,36489,College: 4 years or more,College Degree,11552
"55 Years and Over, Male",2011,35027,Elementary: 0 to 4 years,Less than High School,597
"55 Years and Over, Male",2011,35027,Elementary: 5 to 8 years,Less than High School,1934
"55 Years and Over, Male",2011,35027,High School: 1 to 3 years,Less than High School,2625
"55 Years and Over, Male",2011,35027,High School: 4 years,High School,10676
"55 Years and Over, Male",2011,35027,College: 1 to 3 years,Some College,8230
"55 Years and Over, Male",2011,35027,College: 4 years or more,College Degree,10966
"55 Years and Over, Male",2010,33778,Elementary: 0 to 4 years,Less than High School,647
"55 Years and Over, Male",2010,33778,Elementary: 5 to 8 years,Less than High School,1923
"55 Years and Over, Male",2010,33778,High School: 1 to 3 years,Less than High School,2611
"55 Years and Over, Male",2010,33778,High School: 4 years,High School,10399
"55 Years and Over, Male",2010,33778,College: 1 to 3 years,Some College,7672
"55 Years and Over, Male",2010,33778,College: 4 years or more,College Degree,10525
"55 Years and Over, Male",2009,32814,Elementary: 0 to 4 years,Less than High School,689
"55 Years and Over, Male",2009,32814,Elementary: 5 to 8 years,Less than High School,1874
"55 Years and Over, Male",2009,32814,High School: 1 to 3 years,Less than High School,2669
"55 Years and Over, Male",2009,32814,High School: 4 years,High School,9886
"55 Years and Over, Male",2009,32814,College: 1 to 3 years,Some College,7456
"55 Years and Over, Male",2009,32814,College: 4 years or more,College Degree,10241
"55 Years and Over, Male",2008,31841,Elementary: 0 to 4 years,Less than High School,631
"55 Years and Over, Male",2008,31841,Elementary: 5 to 8 years,Less than High School,1932
"55 Years and Over, Male",2008,31841,High School: 1 to 3 years,Less than High School,2751
"55 Years and Over, Male",2008,31841,High School: 4 years,High School,9510
"55 Years and Over, Male",2008,31841,College: 1 to 3 years,Some College,7259
"55 Years and Over, Male",2008,31841,College: 4 years or more,College Degree,9759
"55 Years and Over, Male",2007,30920,Elementary: 0 to 4 years,Less than High School,721
"55 Years and Over, Male",2007,30920,Elementary: 5 to 8 years,Less than High School,2060
"55 Years and Over, Male",2007,30920,High School: 1 to 3 years,Less than High School,2884
"55 Years and Over, Male",2007,30920,High School: 4 years,High School,9505
"55 Years and Over, Male",2007,30920,College: 1 to 3 years,Some College,6723
"55 Years and Over, Male",2007,30920,College: 4 years or more,College Degree,9026
"55 Years and Over, Male",2006,30060,Elementary: 0 to 4 years,Less than High School,705
"55 Years and Over, Male",2006,30060,Elementary: 5 to 8 years,Less than High School,2090
"55 Years and Over, Male",2006,30060,High School: 1 to 3 years,Less than High School,2784
"55 Years and Over, Male",2006,30060,High School: 4 years,High School,9488
"55 Years and Over, Male",2006,30060,College: 1 to 3 years,Some College,6193
"55 Years and Over, Male",2006,30060,College: 4 years or more,College Degree,8837
"55 Years and Over, Male",2005,29198,Elementary: 0 to 4 years,Less than High School,717
"55 Years and Over, Male",2005,29198,Elementary: 5 to 8 years,Less than High School,2157
"55 Years and Over, Male",2005,29198,High School: 1 to 3 years,Less than High School,2896
"55 Years and Over, Male",2005,29198,High School: 4 years,High School,8918
"55 Years and Over, Male",2005,29198,College: 1 to 3 years,Some College,6167
"55 Years and Over, Male",2005,29198,College: 4 years or more,College Degree,8341
"55 Years and Over, Male",2004,28347,Elementary: 0 to 4 years,Less than High School,639
"55 Years and Over, Male",2004,28347,Elementary: 5 to 8 years,Less than High School,2192
"55 Years and Over, Male",2004,28347,High School: 1 to 3 years,Less than High School,2885
"55 Years and Over, Male",2004,28347,High School: 4 years,High School,8631
"55 Years and Over, Male",2004,28347,College: 1 to 3 years,Some College,5841
"55 Years and Over, Male",2004,28347,College: 4 years or more,College Degree,8159
"55 Years and Over, Male",2003,27694,Elementary: 0 to 4 years,Less than High School,729
"55 Years and Over, Male",2003,27694,Elementary: 5 to 8 years,Less than High School,2423
"55 Years and Over, Male",2003,27694,High School: 1 to 3 years,Less than High School,2912
"55 Years and Over, Male",2003,27694,High School: 4 years,High School,8425
"55 Years and Over, Male",2003,27694,College: 1 to 3 years,Some College,5694
"55 Years and Over, Male",2003,27694,College: 4 years or more,College Degree,7510
"55 Years and Over, Male",2002,26608,Elementary: 0 to 4 years,Less than High School,664
"55 Years and Over, Male",2002,26608,Elementary: 5 to 8 years,Less than High School,2601
"55 Years and Over, Male",2002,26608,High School: 1 to 3 years,Less than High School,3048
"55 Years and Over, Male",2002,26608,High School: 4 years,High School,8063
"55 Years and Over, Male",2002,26608,College: 1 to 3 years,Some College,5257
"55 Years and Over, Male",2002,26608,College: 4 years or more,College Degree,6975
"55 Years and Over, Male",2001,25908,Elementary: 0 to 4 years,Less than High School,697
"55 Years and Over, Male",2001,25908,Elementary: 5 to 8 years,Less than High School,2558
"55 Years and Over, Male",2001,25908,High School: 1 to 3 years,Less than High School,2964
"55 Years and Over, Male",2001,25908,High School: 4 years,High School,8073
"55 Years and Over, Male",2001,25908,College: 1 to 3 years,Some College,5131
"55 Years and Over, Male",2001,25908,College: 4 years or more,College Degree,6485
"55 Years and Over, Male",2000,25023,Elementary: 0 to 4 years,Less than High School,706
"55 Years and Over, Male",2000,25023,Elementary: 5 to 8 years,Less than High School,2696
"55 Years and Over, Male",2000,25023,High School: 1 to 3 years,Less than High School,2817
"55 Years and Over, Male",2000,25023,High School: 4 years,High School,7816
"55 Years and Over, Male",2000,25023,College: 1 to 3 years,Some College,4906
"55 Years and Over, Male",2000,25023,College: 4 years or more,College Degree,6079
"55 Years and Over, Male",1999,24694,Elementary: 0 to 4 years,Less than High School,712
"55 Years and Over, Male",1999,24694,Elementary: 5 to 8 years,Less than High School,2746
"55 Years and Over, Male",1999,24694,High School: 1 to 3 years,Less than High School,2911
"55 Years and Over, Male",1999,24694,High School: 4 years,High School,7712
"55 Years and Over, Male",1999,24694,College: 1 to 3 years,Some College,4756
"55 Years and Over, Male",1999,24694,College: 4 years or more,College Degree,5856
"55 Years and Over, Male",1998,24197,Elementary: 0 to 4 years,Less than High School,755
"55 Years and Over, Male",1998,24197,Elementary: 5 to 8 years,Less than High School,2740
"55 Years and Over, Male",1998,24197,High School: 1 to 3 years,Less than High School,3000
"55 Years and Over, Male",1998,24197,High School: 4 years,High School,7745
"55 Years and Over, Male",1998,24197,College: 1 to 3 years,Some College,4461
"55 Years and Over, Male",1998,24197,College: 4 years or more,College Degree,5496
"55 Years and Over, Male",1997,23668,Elementary: 0 to 4 years,Less than High School,773
"55 Years and Over, Male",1997,23668,Elementary: 5 to 8 years,Less than High School,3026
"55 Years and Over, Male",1997,23668,High School: 1 to 3 years,Less than High School,3060
"55 Years and Over, Male",1997,23668,High School: 4 years,High School,7417
"55 Years and Over, Male",1997,23668,College: 1 to 3 years,Some College,4139
"55 Years and Over, Male",1997,23668,College: 4 years or more,College Degree,5255
"55 Years and Over, Male",1996,23352,Elementary: 0 to 4 years,Less than High School,795
"55 Years and Over, Male",1996,23352,Elementary: 5 to 8 years,Less than High School,3058
"55 Years and Over, Male",1996,23352,High School: 1 to 3 years,Less than High School,2998
"55 Years and Over, Male",1996,23352,High School: 4 years,High School,7198
"55 Years and Over, Male",1996,23352,College: 1 to 3 years,Some College,4254
"55 Years and Over, Male",1996,23352,College: 4 years or more,College Degree,5055
"55 Years and Over, Male",1995,22881,Elementary: 0 to 4 years,Less than High School,839
"55 Years and Over, Male",1995,22881,Elementary: 5 to 8 years,Less than High School,3153
"55 Years and Over, Male",1995,22881,High School: 1 to 3 years,Less than High School,2980
"55 Years and Over, Male",1995,22881,High School: 4 years,High School,6980
"55 Years and Over, Male",1995,22881,College: 1 to 3 years,Some College,4254
"55 Years and Over, Male",1995,22881,College: 4 years or more,College Degree,4675
"55 Years and Over, Male",1994,22669,Elementary: 0 to 4 years,Less than High School,894
"55 Years and Over, Male",1994,22669,Elementary: 5 to 8 years,Less than High School,3327
"55 Years and Over, Male",1994,22669,High School: 1 to 3 years,Less than High School,3037
"55 Years and Over, Male",1994,22669,High School: 4 years,High School,6987
"55 Years and Over, Male",1994,22669,College: 1 to 3 years,Some College,3962
"55 Years and Over, Male",1994,22669,College: 4 years or more,College Degree,4462
"55 Years and Over, Male",1993,23038,Elementary: 0 to 4 years,Less than High School,992
"55 Years and Over, Male",1993,23038,Elementary: 5 to 8 years,Less than High School,3595
"55 Years and Over, Male",1993,23038,High School: 1 to 3 years,Less than High School,3174
"55 Years and Over, Male",1993,23038,High School: 4 years,High School,7178
"55 Years and Over, Male",1993,23038,College: 1 to 3 years,Some College,3587
"55 Years and Over, Male",1993,23038,College: 4 years or more,College Degree,4508
"55 Years and Over, Male",1992,22836,Elementary: 0 to 4 years,Less than High School,1033
"55 Years and Over, Male",1992,22836,Elementary: 5 to 8 years,Less than High School,3676
"55 Years and Over, Male",1992,22836,High School: 1 to 3 years,Less than High School,3277
"55 Years and Over, Male",1992,22836,High School: 4 years,High School,6991
"55 Years and Over, Male",1992,22836,College: 1 to 3 years,Some College,3549
"55 Years and Over, Male",1992,22836,College: 4 years or more,College Degree,4312
"55 Years and Over, Male",1991,22708,Elementary: 0 to 4 years,Less than High School,1217
"55 Years and Over, Male",1991,22708,Elementary: 5 to 8 years,Less than High School,3980
"55 Years and Over, Male",1991,22708,High School: 1 to 3 years,Less than High School,3183
"55 Years and Over, Male",1991,22708,High School: 4 years,High School,7287
"55 Years and Over, Male",1991,22708,College: 1 to 3 years,Some College,2850
"55 Years and Over, Male",1991,22708,College: 4 years or more,College Degree,4193
"55 Years and Over, Male",1990,22337,Elementary: 0 to 4 years,Less than High School,1182
"55 Years and Over, Male",1990,22337,Elementary: 5 to 8 years,Less than High School,4141
"55 Years and Over, Male",1990,22337,High School: 1 to 3 years,Less than High School,3274
"55 Years and Over, Male",1990,22337,High School: 4 years,High School,6986
"55 Years and Over, Male",1990,22337,College: 1 to 3 years,Some College,2707
"55 Years and Over, Male",1990,22337,College: 4 years or more,College Degree,4046
"55 Years and Over, Male",1989,22167,Elementary: 0 to 4 years,Less than High School,1202
"55 Years and Over, Male",1989,22167,Elementary: 5 to 8 years,Less than High School,4198
"55 Years and Over, Male",1989,22167,High School: 1 to 3 years,Less than High School,3317
"55 Years and Over, Male",1989,22167,High School: 4 years,High School,7003
"55 Years and Over, Male",1989,22167,College: 1 to 3 years,Some College,2616
"55 Years and Over, Male",1989,22167,College: 4 years or more,College Degree,3829
"55 Years and Over, Male",1988,21989,Elementary: 0 to 4 years,Less than High School,1117
"55 Years and Over, Male",1988,21989,Elementary: 5 to 8 years,Less than High School,4471
"55 Years and Over, Male",1988,21989,High School: 1 to 3 years,Less than High School,3366
"55 Years and Over, Male",1988,21989,High School: 4 years,High School,6968
"55 Years and Over, Male",1988,21989,College: 1 to 3 years,Some College,2455
"55 Years and Over, Male",1988,21989,College: 4 years or more,College Degree,3609
"55 Years and Over, Male",1987,21855,Elementary: 0 to 4 years,Less than High School,1160
"55 Years and Over, Male",1987,21855,Elementary: 5 to 8 years,Less than High School,4762
"55 Years and Over, Male",1987,21855,High School: 1 to 3 years,Less than High School,3261
"55 Years and Over, Male",1987,21855,High School: 4 years,High School,6673
"55 Years and Over, Male",1987,21855,College: 1 to 3 years,Some College,2504
"55 Years and Over, Male",1987,21855,College: 4 years or more,College Degree,3496
"55 Years and Over, Male",1986,21622,Elementary: 0 to 4 years,Less than High School,1275
"55 Years and Over, Male",1986,21622,Elementary: 5 to 8 years,Less than High School,4813
"55 Years and Over, Male",1986,21622,High School: 1 to 3 years,Less than High School,3286
"55 Years and Over, Male",1986,21622,High School: 4 years,High School,6509
"55 Years and Over, Male",1986,21622,College: 1 to 3 years,Some College,2355
"55 Years and Over, Male",1986,21622,College: 4 years or more,College Degree,3385
"55 Years and Over, Male",1985,21391,Elementary: 0 to 4 years,Less than High School,1252
"55 Years and Over, Male",1985,21391,Elementary: 5 to 8 years,Less than High School,5001
"55 Years and Over, Male",1985,21391,High School: 1 to 3 years,Less than High School,3234
"55 Years and Over, Male",1985,21391,High School: 4 years,High School,6387
"55 Years and Over, Male",1985,21391,College: 1 to 3 years,Some College,2229
"55 Years and Over, Male",1985,21391,College: 4 years or more,College Degree,3289
"55 Years and Over, Male",1984,21014,Elementary: 0 to 4 years,Less than High School,1209
"55 Years and Over, Male",1984,21014,Elementary: 5 to 8 years,Less than High School,4951
"55 Years and Over, Male",1984,21014,High School: 1 to 3 years,Less than High School,3270
"55 Years and Over, Male",1984,21014,High School: 4 years,High School,6265
"55 Years and Over, Male",1984,21014,College: 1 to 3 years,Some College,2185
"55 Years and Over, Male",1984,21014,College: 4 years or more,College Degree,3132
"55 Years and Over, Male",1983,20769,Elementary: 0 to 4 years,Less than High School,1343
"55 Years and Over, Male",1983,20769,Elementary: 5 to 8 years,Less than High School,4986
"55 Years and Over, Male",1983,20769,High School: 1 to 3 years,Less than High School,3282
"55 Years and Over, Male",1983,20769,High School: 4 years,High School,5906
"55 Years and Over, Male",1983,20769,College: 1 to 3 years,Some College,2141
"55 Years and Over, Male",1983,20769,College: 4 years or more,College Degree,3117
"55 Years and Over, Male",1982,20508,Elementary: 0 to 4 years,Less than High School,1362
"55 Years and Over, Male",1982,20508,Elementary: 5 to 8 years,Less than High School,5026
"55 Years and Over, Male",1982,20508,High School: 1 to 3 years,Less than High School,3313
"55 Years and Over, Male",1982,20508,High School: 4 years,High School,5759
"55 Years and Over, Male",1982,20508,College: 1 to 3 years,Some College,2102
"55 Years and Over, Male",1982,20508,College: 4 years or more,College Degree,2946
"55 Years and Over, Male",1981,20237,Elementary: 0 to 4 years,Less than High School,1394
"55 Years and Over, Male",1981,20237,Elementary: 5 to 8 years,Less than High School,5165
"55 Years and Over, Male",1981,20237,High School: 1 to 3 years,Less than High School,3292
"55 Years and Over, Male",1981,20237,High School: 4 years,High School,5597
"55 Years and Over, Male",1981,20237,College: 1 to 3 years,Some College,2032
"55 Years and Over, Male",1981,20237,College: 4 years or more,College Degree,2758
"55 Years and Over, Male",1980,19967,Elementary: 0 to 4 years,Less than High School,1424
"55 Years and Over, Male",1980,19967,Elementary: 5 to 8 years,Less than High School,5436
"55 Years and Over, Male",1980,19967,High School: 1 to 3 years,Less than High School,3206
"55 Years and Over, Male",1980,19967,High School: 4 years,High School,5409
"55 Years and Over, Male",1980,19967,College: 1 to 3 years,Some College,1986
"55 Years and Over, Male",1980,19967,College: 4 years or more,College Degree,2506
"55 Years and Over, Male",1979,19292,Elementary: 0 to 4 years,Less than High School,1446
"55 Years and Over, Male",1979,19292,Elementary: 5 to 8 years,Less than High School,5479
"55 Years and Over, Male",1979,19292,High School: 1 to 3 years,Less than High School,2964
"55 Years and Over, Male",1979,19292,High School: 4 years,High School,5167
"55 Years and Over, Male",1979,19292,College: 1 to 3 years,Some College,1935
"55 Years and Over, Male",1979,19292,College: 4 years or more,College Degree,2301
"55 Years and Over, Male",1978,18939,Elementary: 0 to 4 years,Less than High School,1467
"55 Years and Over, Male",1978,18939,Elementary: 5 to 8 years,Less than High School,5701
"55 Years and Over, Male",1978,18939,High School: 1 to 3 years,Less than High School,2919
"55 Years and Over, Male",1978,18939,High School: 4 years,High School,4919
"55 Years and Over, Male",1978,18939,College: 1 to 3 years,Some College,1824
"55 Years and Over, Male",1978,18939,College: 4 years or more,College Degree,2110
"55 Years and Over, Male",1977,18608,Elementary: 0 to 4 years,Less than High School,1502
"55 Years and Over, Male",1977,18608,Elementary: 5 to 8 years,Less than High School,5770
"55 Years and Over, Male",1977,18608,High School: 1 to 3 years,Less than High School,2787
"55 Years and Over, Male",1977,18608,High School: 4 years,High School,4835
"55 Years and Over, Male",1977,18608,College: 1 to 3 years,Some College,1700
"55 Years and Over, Male",1977,18608,College: 4 years or more,College Degree,2011
"55 Years and Over, Male",1976,18233,Elementary: 0 to 4 years,Less than High School,1507
"55 Years and Over, Male",1976,18233,Elementary: 5 to 8 years,Less than High School,5733
"55 Years and Over, Male",1976,18233,High School: 1 to 3 years,Less than High School,2884
"55 Years and Over, Male",1976,18233,High School: 4 years,High School,4473
"55 Years and Over, Male",1976,18233,College: 1 to 3 years,Some College,1646
"55 Years and Over, Male",1976,18233,College: 4 years or more,College Degree,1989
"55 Years and Over, Male",1975,17903,Elementary: 0 to 4 years,Less than High School,1628
"55 Years and Over, Male",1975,17903,Elementary: 5 to 8 years,Less than High School,5845
"55 Years and Over, Male",1975,17903,High School: 1 to 3 years,Less than High School,2871
"55 Years and Over, Male",1975,17903,High School: 4 years,High School,4308
"55 Years and Over, Male",1975,17903,College: 1 to 3 years,Some College,1480
"55 Years and Over, Male",1975,17903,College: 4 years or more,College Degree,1768
"55 Years and Over, Male",1974,17579,Elementary: 0 to 4 years,Less than High School,1693
"55 Years and Over, Male",1974,17579,Elementary: 5 to 8 years,Less than High School,6042
"55 Years and Over, Male",1974,17579,High School: 1 to 3 years,Less than High School,2817
"55 Years and Over, Male",1974,17579,High School: 4 years,High School,3993
"55 Years and Over, Male",1974,17579,College: 1 to 3 years,Some College,1356
"55 Years and Over, Male",1974,17579,College: 4 years or more,College Degree,1682
"55 Years and Over, Male",1973,17263,Elementary: 0 to 4 years,Less than High School,1678
"55 Years and Over, Male",1973,17263,Elementary: 5 to 8 years,Less than High School,6111
"55 Years and Over, Male",1973,17263,High School: 1 to 3 years,Less than High School,2774
"55 Years and Over, Male",1973,17263,High School: 4 years,High School,3811
"55 Years and Over, Male",1973,17263,College: 1 to 3 years,Some College,1245
"55 Years and Over, Male",1973,17263,College: 4 years or more,College Degree,1645
"55 Years and Over, Male",1972,17120,Elementary: 0 to 4 years,Less than High School,1728
"55 Years and Over, Male",1972,17120,Elementary: 5 to 8 years,Less than High School,6252
"55 Years and Over, Male",1972,17120,High School: 1 to 3 years,Less than High School,2698
"55 Years and Over, Male",1972,17120,High School: 4 years,High School,3612
"55 Years and Over, Male",1972,17120,College: 1 to 3 years,Some College,1215
"55 Years and Over, Male",1972,17120,College: 4 years or more,College Degree,1614
"55 Years and Over, Male",1971,17288,Elementary: 0 to 4 years,Less than High School,1913
"55 Years and Over, Male",1971,17288,Elementary: 5 to 8 years,Less than High School,6629
"55 Years and Over, Male",1971,17288,High School: 1 to 3 years,Less than High School,2668
"55 Years and Over, Male",1971,17288,High School: 4 years,High School,3285
"55 Years and Over, Male",1971,17288,College: 1 to 3 years,Some College,1214
"55 Years and Over, Male",1971,17288,College: 4 years or more,College Degree,1579
"55 Years and Over, Male",1970,17074,Elementary: 0 to 4 years,Less than High School,2011
"55 Years and Over, Male",1970,17074,Elementary: 5 to 8 years,Less than High School,6655
"55 Years and Over, Male",1970,17074,High School: 1 to 3 years,Less than High School,2583
"55 Years and Over, Male",1970,17074,High School: 4 years,High School,3127
"55 Years and Over, Male",1970,17074,College: 1 to 3 years,Some College,1182
"55 Years and Over, Male",1970,17074,College: 4 years or more,College Degree,1516
"55 Years and Over, Male",1969,16822,Elementary: 0 to 4 years,Less than High School,2003
"55 Years and Over, Male",1969,16822,Elementary: 5 to 8 years,Less than High School,6701
"55 Years and Over, Male",1969,16822,High School: 1 to 3 years,Less than High School,2536
"55 Years and Over, Male",1969,16822,High School: 4 years,High School,3099
"55 Years and Over, Male",1969,16822,College: 1 to 3 years,Some College,1086
"55 Years and Over, Male",1969,16822,College: 4 years or more,College Degree,1397
"55 Years and Over, Male",1968,16609,Elementary: 0 to 4 years,Less than High School,2137
"55 Years and Over, Male",1968,16609,Elementary: 5 to 8 years,Less than High School,6728
"55 Years and Over, Male",1968,16609,High School: 1 to 3 years,Less than High School,2523
"55 Years and Over, Male",1968,16609,High School: 4 years,High School,2816
"55 Years and Over, Male",1968,16609,College: 1 to 3 years,Some College,1078
"55 Years and Over, Male",1968,16609,College: 4 years or more,College Degree,1328
"55 Years and Over, Male",1967,16398,Elementary: 0 to 4 years,Less than High School,2247
"55 Years and Over, Male",1967,16398,Elementary: 5 to 8 years,Less than High School,6827
"55 Years and Over, Male",1967,16398,High School: 1 to 3 years,Less than High School,2379
"55 Years and Over, Male",1967,16398,High School: 4 years,High School,2685
"55 Years and Over, Male",1967,16398,College: 1 to 3 years,Some College,989
"55 Years and Over, Male",1967,16398,College: 4 years or more,College Degree,1271
"55 Years and Over, Male",1966,16201,Elementary: 0 to 4 years,Less than High School,2288
"55 Years and Over, Male",1966,16201,Elementary: 5 to 8 years,Less than High School,6944
"55 Years and Over, Male",1966,16201,High School: 1 to 3 years,Less than High School,2317
"55 Years and Over, Male",1966,16201,High School: 4 years,High School,2491
"55 Years and Over, Male",1966,16201,College: 1 to 3 years,Some College,939
"55 Years and Over, Male",1966,16201,College: 4 years or more,College Degree,1223
"55 Years and Over, Male",1965,16015,Elementary: 0 to 4 years,Less than High School,2368
"55 Years and Over, Male",1965,16015,Elementary: 5 to 8 years,Less than High School,6992
"55 Years and Over, Male",1965,16015,High School: 1 to 3 years,Less than High School,2265
"55 Years and Over, Male",1965,16015,High School: 4 years,High School,2331
"55 Years and Over, Male",1965,16015,College: 1 to 3 years,Some College,893
"55 Years and Over, Male",1965,16015,College: 4 years or more,College Degree,1164
"55 Years and Over, Male",1964,15789,Elementary: 0 to 4 years,Less than High School,2504
"55 Years and Over, Male",1964,15789,Elementary: 5 to 8 years,Less than High School,6897
"55 Years and Over, Male",1964,15789,High School: 1 to 3 years,Less than High School,2159
"55 Years and Over, Male",1964,15789,High School: 4 years,High School,2237
"55 Years and Over, Male",1964,15789,College: 1 to 3 years,Some College,876
"55 Years and Over, Male",1964,15789,College: 4 years or more,College Degree,1113
"55 Years and Over, Male",1962,15440,Elementary: 0 to 4 years,Less than High School,2644
"55 Years and Over, Male",1962,15440,Elementary: 5 to 8 years,Less than High School,6813
"55 Years and Over, Male",1962,15440,High School: 1 to 3 years,Less than High School,2032
"55 Years and Over, Male",1962,15440,High School: 4 years,High School,2030
"55 Years and Over, Male",1962,15440,College: 1 to 3 years,Some College,864
"55 Years and Over, Male",1962,15440,College: 4 years or more,College Degree,1057
"55 Years and Over, Male",1960,14895,Elementary: 0 to 4 years,Less than High School,2704
"55 Years and Over, Male",1960,14895,Elementary: 5 to 8 years,Less than High School,7121
"55 Years and Over, Male",1960,14895,High School: 1 to 3 years,Less than High School,1969
"55 Years and Over, Male",1960,14895,High School: 4 years,High School,1453
"55 Years and Over, Male",1960,14895,College: 1 to 3 years,Some College,853
"55 Years and Over, Male",1960,14895,College: 4 years or more,College Degree,796
