group,year,total,level,attainment,count
"25 Years and Over, Both Sexes",2001,180389,Elementary: 0 to 4 years,Less than High School,2810
"25 Years and Over, Both Sexes",2001,180389,Elementary: 5 to 8 years,Less than High School,9518
"25 Years and Over, Both Sexes",2001,180389,High School: 1 to 3 years,Less than High School,16279
"25 Years and Over, Both Sexes",2001,180389,High School: 4 years,High School,58272
"25 Years and Over, Both Sexes",2001,180389,College: 1 to 3 years,Some College,46281
"25 Years and Over, Both Sexes",2001,180389,College: 4 years or more,College Degree,47228
"25 Years and Over, Both Sexes",2000,175230,Elementary: 0 to 4 years,Less than High School,2742
"25 Years and Over, Both Sexes",2000,175230,Elementary: 5 to 8 years,Less than High School,9438
"25 Years and Over, Both Sexes",2000,175230,High School: 1 to 3 years,Less than High School,15674
"25 Years and Over, Both Sexes",2000,175230,High School: 4 years,High School,58086
"25 Years and Over, Both Sexes",2000,175230,College: 1 to 3 years,Some College,44445
"25 Years and Over, Both Sexes",2000,175230,College: 4 years or more,College Degree,44845
"25 Years and Over, Both Sexes",1999,173754,Elementary: 0 to 4 years,Less than High School,2742
"25 Years and Over, Both Sexes",1999,173754,Elementary: 5 to 8 years,Less than High School,9655
"25 Years and Over, Both Sexes",1999,173754,High School: 1 to 3 years,Less than High School,16443
"25 Years and Over, Both Sexes",1999,173754,High School: 4 years,High School,57935
"25 Years and Over, Both Sexes",1999,173754,College: 1 to 3 years,Some College,43176
"25 Years and Over, Both Sexes",1999,173754,College: 4 years or more,College Degree,43803
"25 Years and Over, Both Sexes",1998,172211,Elementary: 0 to 4 years,Less than High School,2834
"25 Years and Over, Both Sexes",1998,172211,Elementary: 5 to 8 years,Less than High School,9948
"25 Years and Over, Both Sexes",1998,172211,High School: 1 to 3 years,Less than High School,16776
"25 Years and Over, Both Sexes",1998,172211,High School: 4 years,High School,58174
"25 Years and Over, Both Sexes",1998,172211,College: 1 to 3 years,Some College,42506
"25 Years and Over, Both Sexes",1998,172211,College: 4 years or more,College Degree,41973
"25 Years and Over, Both Sexes",1997,170581,Elementary: 0 to 4 years,Less than High School,2840
"25 Years and Over, Both Sexes",1997,170581,Elementary: 5 to 8 years,Less than High School,10472
"25 Years and Over, Both Sexes",1997,170581,High School: 1 to 3 years,Less than High School,17211
"25 Years and Over, Both Sexes",1997,170581,High School: 4 years,High School,57586
"25 Years and Over, Both Sexes",1997,170581,College: 1 to 3 years,Some College,41774
"25 Years and Over, Both Sexes",1997,170581,College: 4 years or more,College Degree,40697
"25 Years and Over, Both Sexes",1996,168323,Elementary: 0 to 4 years,Less than High School,3027
"25 Years and Over, Both Sexes",1996,168323,Elementary: 5 to 8 years,Less than High School,10595
"25 Years and Over, Both Sexes",1996,168323,High School: 1 to 3 years,Less than High School,17102
"25 Years and Over, Both Sexes",1996,168323,High School: 4 years,High School,56559
"25 Years and Over, Both Sexes",1996,168323,College: 1 to 3 years,Some College,41372
"25 Years and Over, Both Sexes",1996,168323,College: 4 years or more,College Degree,39668
"25 Years and Over, Both Sexes",1995,166438,Elementary: 0 to 4 years,Less than High School,3074
"25 Years and Over, Both Sexes",1995,166438,Elementary: 5 to 8 years,Less than High School,10873
"25 Years and Over, Both Sexes",1995,166438,High School: 1 to 3 years,Less than High School,16566
"25 Years and Over, Both Sexes",1995,166438,High School: 4 years,High School,56450
"25 Years and Over, Both Sexes",1995,166438,College: 1 to 3 years,Some College,41249
"25 Years and Over, Both Sexes",1995,166438,College: 4 years or more,College Degree,38226
"25 Years and Over, Both Sexes",1994,164512,Elementary: 0 to 4 years,Less than High School,3156
"25 Years and Over, Both Sexes",1994,164512,Elementary: 5 to 8 years,Less than High School,11359
"25 Years and Over, Both Sexes",1994,164512,High School: 1 to 3 years,Less than High School,16925
"25 Years and Over, Both Sexes",1994,164512,High School: 4 years,High School,56515
"25 Years and Over, Both Sexes",1994,164512,College: 1 to 3 years,Some College,40014
"25 Years and Over, Both Sexes",1994,164512,College: 4 years or more,College Degree,36544
"25 Years and Over, Both Sexes",1993,162826,Elementary: 0 to 4 years,Less than High School,3380
"25 Years and Over, Both Sexes",1993,162826,Elementary: 5 to 8 years,Less than High School,11747
"25 Years and Over, Both Sexes",1993,162826,High School: 1 to 3 years,Less than High School,17067
"25 Years and Over, Both Sexes",1993,162826,High School: 4 years,High School,57589
"25 Years and Over, Both Sexes",1993,162826,College: 1 to 3 years,Some College,37451
"25 Years and Over, Both Sexes",1993,162826,College: 4 years or more,College Degree,35590
"25 Years and Over, Both Sexes",1992,160827,Elementary: 0 to 4 years,Less than High School,3449
"25 Years and Over, Both Sexes",1992,160827,Elementary: 5 to 8 years,Less than High School,11989
"25 Years and Over, Both Sexes",1992,160827,High School: 1 to 3 years,Less than High School,17672
"25 Years and Over, Both Sexes",1992,160827,High School: 4 years,High School,57860
"25 Years and Over, Both Sexes",1992,160827,College: 1 to 3 years,Some College,35520
"25 Years and Over, Both Sexes",1992,160827,College: 4 years or more,College Degree,34337
"25 Years and Over, Both Sexes",1991,158694,Elementary: 0 to 4 years,Less than High School,3803
"25 Years and Over, Both Sexes",1991,158694,Elementary: 5 to 8 years,Less than High School,13046
"25 Years and Over, Both Sexes",1991,158694,High School: 1 to 3 years,Less than High School,17379
"25 Years and Over, Both Sexes",1991,158694,High School: 4 years,High School,61272
"25 Years and Over, Both Sexes",1991,158694,College: 1 to 3 years,Some College,29170
"25 Years and Over, Both Sexes",1991,158694,College: 4 years or more,College Degree,34026
"25 Years and Over, Both Sexes",1990,156538,Elementary: 0 to 4 years,Less than High School,3833
"25 Years and Over, Both Sexes",1990,156538,Elementary: 5 to 8 years,Less than High School,13758
"25 Years and Over, Both Sexes",1990,156538,High School: 1 to 3 years,Less than High School,17461
"25 Years and Over, Both Sexes",1990,156538,High School: 4 years,High School,60119
"25 Years and Over, Both Sexes",1990,156538,College: 1 to 3 years,Some College,28075
"25 Years and Over, Both Sexes",1990,156538,College: 4 years or more,College Degree,33291
"25 Years and Over, Both Sexes",1989,154155,Elementary: 0 to 4 years,Less than High School,3861
"25 Years and Over, Both Sexes",1989,154155,Elementary: 5 to 8 years,Less than High School,14061
